Currency,CurrencyName,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Difference,Change%,LogClosingPrice
ADA,Cardano,11/28/2018,0.041313125,0.036528471,0.043950334,0.035916222,0.004784103,0.115801044,-1.383911953
ADA,Cardano,11/29/2018,0.041431306,0.04131298,0.044497416,0.03935134,0.000118181,0.002852457,-1.382671377
ADA,Cardano,11/30/2018,0.039337571,0.041596929,0.042224084,0.037139424,-0.002093735,-0.053224817,-1.40519246
ADA,Cardano,12/1/2018,0.041846352,0.039342685,0.042914479,0.038920663,0.002508781,0.059952203,-1.378342396
ADA,Cardano,12/2/2018,0.041572802,0.041846345,0.043193608,0.040248868,-0.00027355,-0.006580023,-1.381190703
ADA,Cardano,12/3/2018,0.038459505,0.041570083,0.041826997,0.037412927,-0.003113297,-0.080950002,-1.41499631
ADA,Cardano,12/4/2018,0.03723053,0.038459813,0.039621212,0.036701126,-0.001228975,-0.033009871,-1.429100781
ADA,Cardano,12/5/2018,0.034302241,0.037230737,0.037240205,0.033753012,-0.002928289,-0.08536728,-1.464677506
ADA,Cardano,12/6/2018,0.031363741,0.033838906,0.035278708,0.031306907,-0.0029385,-0.093690992,-1.503572141
ADA,Cardano,12/7/2018,0.029580811,0.031354862,0.031736501,0.027103979,-0.00178293,-0.060273195,-1.528989923
ADA,Cardano,12/8/2018,0.030610568,0.029580618,0.031870386,0.028364975,0.001029757,0.033640571,-1.514128612
ADA,Cardano,12/9/2018,0.031019486,0.030590317,0.032366527,0.029511459,0.000408918,0.013182617,-1.508365403
ADA,Cardano,12/10/2018,0.029800853,0.031045038,0.031735563,0.029122195,-0.001218633,-0.040892554,-1.525771305
ADA,Cardano,12/11/2018,0.029577028,0.029735613,0.031493359,0.028272731,-0.000223825,-0.007567528,-1.529045468
ADA,Cardano,12/12/2018,0.030245827,0.029577132,0.030873411,0.029029286,0.000668799,0.022112108,-1.519334536
ADA,Cardano,12/13/2018,0.028834884,0.030324487,0.030543811,0.028553496,-0.001410943,-0.048931808,-1.540081791
